Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Moderate Load Test:Restaurant Search,150,4501,1683,11773,15796,20594,142,22502,0.000%,1.21087,2.82,0.18
Moderate Load Test:Authentication,150,7313,4095,16789,19497,22687,599,23101,0.000%,1.18818,1.93,0.33
Moderate Load Test:Booking Creation,150,10701,8395,18294,23591,27707,1085,29900,0.000%,1.14435,1.85,0.60
TOTAL,450,7505,5915,16391,19699,24984,142,29900,0.000%,3.37904,6.27,1.07
