Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Bundle Load Test:Frontend bundle loading,50,41,28,81,86,192,22,192,0.000%,1.71174,31.96,0.25
TOTAL,50,41,28,81,86,192,22,192,0.000%,1.71174,31.96,0.25
