Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Light Load Test:Restaurant Search,50,3463,1728,10399,11285,11673,100,11673,0.000%,.37394,0.87,0.06
Light Load Test:Authentication,50,5494,3396,11692,12890,18602,450,18602,0.000%,.37330,0.61,0.10
Light Load Test:Booking Creation,50,10557,8011,20095,23514,30094,321,30094,0.000%,.37504,0.61,0.20
TOTAL,150,6505,4495,14895,17680,26907,100,30094,0.000%,1.10704,2.06,0.35
