Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Frontend bundle loading,50,56,42,112,117,126,37,126,0.000%,1.70678,42.19,0.25
TOTAL,50,56,42,112,117,126,37,126,0.000%,1.70678,42.19,0.25
