Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Restaurant Search,150,8012,2771,24716,27399,29609,214,30070,0.000%,.80747,1.17,0.12
Authentication,150,11013,5094,26519,28895,31401,475,31889,0.000%,.78942,0.62,0.22
Booking Creation,150,16412,12196,34395,36191,38590,508,38753,0.000%,.78928,0.61,0.41
TOTAL,450,11812,8666,28235,32003,37137,214,38753,0.000%,2.34623,2.35,0.75
